"species_code","season","start_year","end_year","start_date","end_date","srd_id","longitude","latitude","abd","abd_ppy","abd_ppy_lower","abd_ppy_upper","abd_ppy_nonzero","abd_trend","abd_trend_lower","abd_trend_upper"
"uplsan","breeding",2012,2022,"05-31","06-28",126707,-146.862398900783,69.7363624541182,0.00356378890416873,-2.81619589478603,-5.11633021691799,1.19479271068327,FALSE,-24.8482759326124,-40.8554496986651,12.6112168041123
"uplsan","breeding",2012,2022,"05-31","06-28",126708,-146.169998579093,69.7363624541182,0.0034580638878135,-3.47948214243424,-6.16971618952573,-1.17700307682248,TRUE,-29.8227358260257,-47.1030904587572,-11.165798613171
"uplsan","breeding",2012,2022,"05-31","06-28",126709,-145.477598257404,69.7363624541182,0.0185756846393241,-1.23952231823933,-6.4939234054701,0.702963282909085,FALSE,-11.7262008068933,-48.9026533556164,7.25622385803861
"uplsan","breeding",2012,2022,"05-31","06-28",126710,-144.785197935714,69.7363624541182,0.000732654717419377,-4.2812647428726,-6.77150647676934,-1.65775637851722,TRUE,-35.4391089207475,-50.3994302399668,-15.3940078947386
"uplsan","breeding",2012,2022,"05-31","06-28",128207,-146.586673127947,69.4965560927241,0.0227243300139805,-5.39050545554771,-9.18426879386142,-1.49829045492179,TRUE,-42.5424342755044,-61.8397825932238,-14.012033309717
"uplsan","breeding",2012,2022,"05-31","06-28",128208,-145.90202842679,69.4965560927241,0.0435531036292272,-4.22789313115128,-6.26602858587381,-3.20932625936546,TRUE,-35.0782205867831,-47.6435513760953,-27.8335853968697
"uplsan","breeding",2012,2022,"05-31","06-28",128209,-145.217383725633,69.4965560927241,0.0219978507564873,-2.8933299249208,-3.76820529344033,-1.92083802463754,TRUE,-25.4426234561052,-31.8939247549041,-17.6303038047724
"uplsan","breeding",2012,2022,"05-31","06-28",128210,-144.532739024477,69.4965560927241,0.0361355589042219,1.76473826505626,-0.1889401190356,3.17413063878688,FALSE,19.1168498182396,-1.87341759572991,36.681010622749
"uplsan","breeding",2012,2022,"05-31","06-28",128211,-143.84809432332,69.4965560927241,0.0503944173318798,-5.99955816548727,-8.01037911891512,-3.19844210688395,TRUE,-46.1359568481675,-56.6101358953042,-27.7523928791901
"uplsan","breeding",2012,2022,"05-31","06-28",128212,-143.163449622163,69.4965560927241,0.0696745531797232,-4.47261431941198,-6.72924800757787,-2.92153528639322,TRUE,-36.7181852955411,-50.1741423849028,-25.6588981203462
"uplsan","breeding",2012,2022,"05-31","06-28",128213,-142.478804921007,69.4965560927241,0.0738045521089251,-3.54404812410694,-5.52172061600259,-2.41586399515267,TRUE,-30.2907657232851,-43.3343657538969,-21.6945097365183
"uplsan","breeding",2012,2022,"05-31","06-28",128214,-141.79416021985,69.4965560927241,0.0426351832817702,-1.97405429228992,-4.54377522682568,-0.421736172072554,TRUE,-18.076139649409,-37.1880113886191,-4.13821760849654
"uplsan","breeding",2012,2022,"05-31","06-28",128215,-141.109515518693,69.4965560927241,0.0350691883696529,-2.04016595429123,-4.78433319712095,-0.418443368970671,TRUE,-18.626985088176,-38.753097222113,-4.10651380719534
"uplsan","breeding",2012,2022,"05-31","06-28",128216,-140.424870817537,69.4965560927241,0.025715655845081,-1.1720205939539,-4.67091253853377,0.00949475374336287,FALSE,-11.1209997975862,-38.0196024483404,0.0949881153637255
"uplsan","breeding",2012,2022,"05-31","06-28",128217,-139.74022611638,69.4965560927241,0.00213748744427528,0.241318361364431,-2.30779970837818,2.07605735572295,FALSE,2.43955851286379,-20.8230237818706,22.8114538535589
"uplsan","breeding",2012,2022,"05-31","06-28",129704,-148.350808443051,69.25674973133,0.000948344416115115,-4.21937101508435,-8.04359227302526,-1.45245394491912,TRUE,-35.0204279211016,-56.7665421340608,-13.6110603825288
"uplsan","breeding",2012,2022,"05-31","06-28",129705,-147.673735815231,69.25674973133,0.021282088276672,-4.97408658123715,-9.30205330241584,-2.11049256322401,TRUE,-39.9627862908362,-62.3318273611741,-19.2092886256117
"uplsan","breeding",2012,2022,"05-31","06-28",129706,-146.996663187411,69.25674973133,0.022094282812445,-2.31926636434401,-3.65093170938877,-1.40532811289968,TRUE,-20.915908961422,-31.0593786652978,-13.1970548812361
"uplsan","breeding",2012,2022,"05-31","06-28",129707,-146.31959055959,69.25674973133,0.0489497651019312,-3.98878569209033,-4.7453680769207,-3.14254666662444,TRUE,-33.4390326683522,-38.5019943710772,-27.334132963549
"uplsan","breeding",2012,2022,"05-31","06-28",129708,-145.64251793177,69.25674973133,0.034436223959124,-6.37990328971251,-10.1990566590551,-5.0276744729871,TRUE,-48.2761487333963,-65.8957118787427,-40.3004958121945
"uplsan","breeding",2012,2022,"05-31","06-28",129709,-144.96544530395,69.25674973133,0.0316455540519554,-4.65458644235977,-5.5324370180881,-3.19328867555117,TRUE,-37.9133727386387,-43.3986071714964,-27.7139211542221
"uplsan","breeding",2012,2022,"05-31","06-28",129710,-144.28837267613,69.25674973133,0.0313220739703925,-3.60438450576281,-6.10608352914519,-2.16506846709093,TRUE,-30.7255945896009,-46.7432640084627,-19.6585891164937
"uplsan","breeding",2012,2022,"05-31","06-28",129711,-143.611300048309,69.25674973133,0.0357714091907309,-3.4267572596888,-4.87455999812684,-1.7705365928915,TRUE,-29.438444823162,-39.331007053631,-16.3592888819249
"uplsan","breeding",2012,2022,"05-31","06-28",129712,-142.934227420489,69.25674973133,0.0256284846648857,-2.32684498485176,-3.16091766600898,-1.05736812977982,TRUE,-20.9772454278382,-27.4718410831307,-10.0844957875735
